"fips","county name","HSR"
223,Hopkins,HSR 4/5N
225,Houston,HSR 4/5N
227,Howard,HSR 9/10
229,Hudspeth,HSR 9/10
231,Hunt,HSR 2/3
233,Hutchinson,HSR 1
235,Irion,HSR 9/10
237,Jack,HSR 2/3
239,Jackson,HSR 8
241,Jasper,HSR 4/5N
243,Jeff Davis,HSR 9/10
245,Jefferson,HSR 6/5S
247,Jim Hogg,HSR 11
249,Jim Wells,HSR 11
251,Johnson,HSR 2/3
253,Jones,HSR 2/3
255,Karnes,HSR 8
257,Kaufman,HSR 2/3
259,Kendall,HSR 8
261,Kenedy,HSR 11
263,Kent,HSR 2/3
265,Kerr,HSR 8
267,Kimble,HSR 9/10
269,King,HSR 1
271,Kinney,HSR 8
273,Kleberg,HSR 11
275,Knox,HSR 2/3
277,Lamar,HSR 4/5N
279,Lamb,HSR 1
281,Lampasas,HSR 7
283,La Salle,HSR 8
285,Lavaca,HSR 8
287,Lee,HSR 7
289,Leon,HSR 7
291,Liberty,HSR 6/5S
293,Limestone,HSR 7
295,Lipscomb,HSR 1
297,Live Oak,HSR 11
299,Llano,HSR 7
301,Loving,HSR 9/10
303,Lubbock,HSR 1
305,Lynn,HSR 1
307,McCulloch,HSR 9/10
309,McLennan,HSR 7
311,McMullen,HSR 11
313,Madison,HSR 7
315,Marion,HSR 4/5N
317,Martin,HSR 9/10
319,Mason,HSR 9/10
321,Matagorda,HSR 6/5S
323,Maverick,HSR 8
325,Medina,HSR 8
327,Menard,HSR 9/10
329,Midland,HSR 9/10
331,Milam,HSR 7
333,Mills,HSR 7
335,Mitchell,HSR 2/3
337,Montague,HSR 2/3
339,Montgomery,HSR 6/5S
341,Moore,HSR 1
343,Morris,HSR 4/5N
345,Motley,HSR 1
347,Nacogdoches,HSR 4/5N
349,Navarro,HSR 2/3
351,Newton,HSR 4/5N
353,Nolan,HSR 2/3
355,Nueces,HSR 11
357,Ochiltree,HSR 1
359,Oldham,HSR 1
361,Orange,HSR 6/5S
363,Palo Pinto,HSR 2/3
365,Panola,HSR 4/5N
367,Parker,HSR 2/3
369,Parmer,HSR 1
371,Pecos,HSR 9/10
373,Polk,HSR 4/5N
375,Potter,HSR 1
377,Presidio,HSR 9/10
379,Rains,HSR 4/5N
381,Randall,HSR 1
383,Reagan,HSR 9/10
385,Real,HSR 8
387,Red River,HSR 4/5N
389,Reeves,HSR 9/10
391,Refugio,HSR 11
393,Roberts,HSR 1
395,Robertson,HSR 7
397,Rockwall,HSR 2/3
399,Runnels,HSR 2/3
401,Rusk,HSR 4/5N
403,Sabine,HSR 4/5N
405,San Augustine,HSR 4/5N
407,San Jacinto,HSR 4/5N
409,San Patricio,HSR 11
411,San Saba,HSR 7
413,Schleicher,HSR 9/10
415,Scurry,HSR 2/3
417,Shackelford,HSR 2/3
419,Shelby,HSR 4/5N
421,Sherman,HSR 1
423,Smith,HSR 4/5N
425,Somervell,HSR 2/3
427,Starr,HSR 11
429,Stephens,HSR 2/3
431,Sterling,HSR 9/10
433,Stonewall,HSR 2/3
435,Sutton,HSR 9/10
437,Swisher,HSR 1
439,Tarrant,HSR 2/3
441,Taylor,HSR 2/3
443,Terrell,HSR 9/10
445,Terry,HSR 1
447,Throckmorton,HSR 2/3
449,Titus,HSR 4/5N
451,Tom Green,HSR 9/10
453,Travis,HSR 7
455,Trinity,HSR 4/5N
457,Tyler,HSR 4/5N
459,Upshur,HSR 4/5N
461,Upton,HSR 9/10
463,Uvalde,HSR 8
465,Val Verde,HSR 8
467,Van Zandt,HSR 4/5N
469,Victoria,HSR 8
471,Walker,HSR 6/5S
473,Waller,HSR 6/5S
475,Ward,HSR 9/10
477,Washington,HSR 7
479,Webb,HSR 11
481,Wharton,HSR 6/5S
483,Wheeler,HSR 1
485,Wichita,HSR 2/3
487,Wilbarger,HSR 2/3
489,Willacy,HSR 11
491,Williamson,HSR 7
493,Wilson,HSR 8
495,Winkler,HSR 9/10
497,Wise,HSR 2/3
499,Wood,HSR 4/5N
501,Yoakum,HSR 1
503,Young,HSR 2/3
505,Zapata,HSR 11
507,Zavala,HSR 8
